perangkatid;name;processor_brand;processor_name;ram;storage_capacity;storage_type;battery;screen;graphic;price
30648;MSI GF63 Thin Core i7 10th Gen;Intel;Core i7;16 GB;512 GB;SSD;4;Full HD, 144Hz 45%NTSC IPS-Level;NVIDIA GeForce RTX 3050;16693913
30649;HP HP Envy Intel EVO Core i5 11th Gen;Intel;Core i5;16 GB;1 TB;SSD;4;WUXGA, IPS, micro-edge, anti-glare (Brightness: 400 nits, 162 ppi, Color Gamut: 100% sRGB);NVIDIA GeForce GTX GTX;20700953
30650;MSI Alpha 15 Ryzen 7 Octa Core 5800H;AMD;Ryzen 7 Octa Core;16 GB;1 TB;SSD;4;Full HD, 144Hz 72%NTSC IPS-Level, close to 100%sRGB;AMD Radeon RX6600M;19824413
30651;ASUS Core i3 10th Gen;Intel;Core i3;4 GB;1 TB;HDD;3;HD;Intel Integrated Intel UHD;6467613
30652;ASUS Core i3 10th Gen;Intel;Core i3;8 GB;1 TB;HDD;6;;Intel Integrated;6864143
30653;acer Predator Helios 300 Core i7 11th Gen;Intel;Core i7;16 GB;1 TB;SSD;3;QHD with IPS (In-Plane Switching) technology (High-brightness (300 nits) Acer ComfyView LED-backlit TFT LCD, supporting 165 Hz, 3 ms Overdrive, 16:9 aspect ratio, DCI-P3 100%);NVIDIA GeForce RTX 3060;23581013
30654;ASUS F17 Core i5 11th Gen;Intel;Core i5;8 GB;1 TB;SSD;90;Full HD LED Backlit, IPS Anti-Glare Display (250 nits Brightness, 45% NTSC Color Gamut, 144 Hz Refresh Rate, 62.5% sRGB);NVIDIA GeForce RTX 3050;17322100
30655;HP HP Envy Ryzen 7 Octa Core 4700U;AMD;Ryzen 7 Octa Core;16 GB;1 TB;SSD;3;Full HD,multitouch-enabled, (IPS, edge-to-edge glass, micro-edge, Corning Gorilla Glass NBT, Brightness: 1000 nits (150 nits in PVCY), 166 ppi, Color Gamut: 72% NTSC);AMD Radeon Radeon;18979178
30656;ASUS Vivobook 15 Core i3 11th Gen;Intel;Core i3;8 GB;256 GB;SSD;3;Full HD LED Backlit Anti-Glare Display (250 nits Brightness, 45% NTSC Color Gamut, 85% Screen-to-Body Ratio);Intel Integrated UHD;7928513
30657;ASUS Vivobook 15 Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;3;Full HD LED Backlit Anti-glare Display (200 nits Brightness, 45% NTSC Color Gamut, 83? Screen-to-body Ratio);Intel Integrated Intel Iris X? Graphics;11059013
