perangkatid;name;processor_brand;processor_name;ram;storage_capacity;storage_type;battery;screen;graphic;price
30818;Lenovo Ideapad Slim 5 Ryzen 7 Octa Core 5700U;AMD;Ryzen 7 Octa Core;16 GB;512 GB;SSD;14;Full HD LED Backlit, IPS Anti-Glare Display (300 nits Brightness, 45% NTSC Color Gamut);AMD Radeon;14189513
30819;Lenovo V15 Athlon Dual Core 3050U;AMD;Athlon Dual Core;4 GB;1 TB;HDD;6;HD LED Backlit Anti-glare TN Display (16:9 Aspect Ratio, 220 nits Brightness);AMD Radeon;5841513
30820;ASUS TUF Gaming F15 Core i5 10th Gen;Intel;Core i5;8 GB;512 GB;SSD;5;Full HD LED Backlit, IPS Anti-Glare Display (250nits Brightness, 144 Hz Refresh Rate, 45% NTSC Color Gamut, 62.5% sRGB);NVIDIA GeForce GTX 1650 Ti;13772113
30821;DELL Vostro Core i3 11th Gen;Intel;Core i3;4 GB;1 TB;SSD;10;Full HD LED Backlit, Anti-Glare Display;Intel Integrated UHD;9000396
30822;acer Aspire 7 Core i5 10th Gen;Intel;Core i5;8 GB;512 GB;SSD;9;Full HD Acer ComfyView LED Backlit TFT LCD Anti-glare Display (45% NTSC Color Gamut, Wide Viewing Angle up to 170 Degrees, Ultra-Slim Design, 16:9 Aspect Ratio, IPS Level Panel, Mercury Free, Environment Friendly);NVIDIA GeForce GTX 1650;11476413
30823;ASUS ROG Strix G15 (2020) Octa Core i7 10th Gen;Intel;Octa Core i7;16 GB;1 TB;SSD;4;Full HD LED Backlit Anti-glare IPS-Level Display (144Hz Refresh Rate, 250 nits Brightness, 45% NTSC Color Gamut, 1000:1 Contrast, 67% SRGB, 170 Angle Viewing);NVIDIA GeForce GTX 1650 Ti;19323533
30824;ASUS Zephyrus G14 Ryzen 5 Hexa Core AMD Ryzenâ¢ 5 4600H 4th Gen;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;5;14-inch FHD (1920x1080) 16:9 anti-glare display sRGB: 100% Adobe: 75.35% Refresh Rate: 120Hz IPS-level Pantone Validated: Yes;NVIDIA GeForce GTX GTX 1650Ti;17635150
30825;ASUS VivoBook Flip 14 (2022) Ryzen 5 Hexa Core;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;3;Full HD LED Backlit Anti-glare Display (250 nits Brightness, 45% NTSC Color Gamut, 82? Screen-to-body Ratio, IPS Level Panel);AMD Radeon;13146013
30826;MSI GF65 Thin Hexa Core i5 10th Gen;Intel;Hexa Core i5;16 GB;512 GB;SSD;4;Full HD LED Backlit IPS Display (144Hz Refresh Rate, 45%NTSC Color Gamut);NVIDIA GeForce GTX 1660 Ti;15859113
30827;ASUS ZenBook 14 Ryzen 5 Hexa Core AMD Ryzenâ¢ 5 5500U Processor 5th Gen;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;3;14.0-inch FHD (1920 x 1080) 16:9, Anti-glare display, LED Backlit, sRGB: 100%, Screen-to-body ratio: 90 ?;AMD Radeon AMD Radeonâ¢ Graphics;16276513
30828;DELL Inspiron Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;6;Full HD WVA Anti-Glare Display;Intel Integrated Iris Xe;13417323
30829;DELL Inspiron Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;6;Full HD WVA Touch Display with Active Pen;Intel Integrated Iris Xe;15233013
30830;DELL Inspiron Core i5 11th Gen;Intel;Core i5;8 GB;1 TB;SSD;7;Full HD Anti Glare Display;NVIDIA GeForce MX330;1419139
30831;DELL Inspiron Core i5 11th Gen;Intel;Core i5;4 GB;1 TB;SSD;7;Full HD LED Backlit, Anti-Glare Display;Intel Integrated Iris Xe;11685113
30832;ASUS ASUS TUF Dash Series Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;5;15.6-inch,FHD (1920 x 1080) 16:9,anti-glare display, Refresh Rate:144 Hz,IPS-level;NVIDIA GeForce RTX 3060;18572213
30833;DELL Inspiron Core i3 10th Gen;Intel;Core i3;8 GB;256 GB;SSD;7;Full HD LED Backlit, Anti-Glare Display;Intel Integrated UHD;8450263
30834;DELL Inspiron Core i3 11th Gen;Intel;Core i3;8 GB;1 TB;HDD;7;Full HD Anti Glare Display;Intel Integrated UHD;939129
30835;HP Core i3 11th Gen;Intel;Core i3;8 GB;256 GB;SSD;12;HD LED Backlit BrightView Micro-edge IPS Display (250 nits Brightness, 112 PPI, 45% NTSC Color Gamut);Intel Integrated UHD;9264193
30836;Lenovo Intel EVO Core i7 11th Gen;Intel;Core i7;16 GB;512 GB;SSD;3;;Intel Integrated Integrated Intel Iris Xe Graphics;2149589
30837;Lenovo Yoga Slim 7 Intel EVO Core i7 11th Gen;Intel;Core i7;16 GB;1 TB;SSD;13;Quad HD Low Power Dolby Vision Anti-glare Display (300 nits Brightness, 100% sRGB);Intel Integrated Iris Xe;22954913
30838;DELL Core i5 10th Gen;Intel;Core i5;8 GB;512 GB;SSD;3;;Intel Integrated;19824413
30839;DELL Core i3 11th Gen;Intel;Core i3;8 GB;1 TB;HDD;3;;Intel Integrated;8972013
30840;MSI GF63 Thin Core i7 10th Gen;Intel;Core i7;8 GB;1 TB;SSD;3;Full HD LED Backlit IPS Display (60Hz Refresh Rate, 45%NTSC Color Gamut);NVIDIA GeForce GTX 1650 Max Q;14085163
30841;HP 14s Core i3 11th Gen;Intel;Core i3;8 GB;256 GB;SSD;5;Full HD WLED Backlit, IPS BrightView Micro-Edge Display (250 nits Brightness, 45% NTSC Color Gamut, 157 PPI);Intel Integrated UHD;7930391
30842;acer Nitro 5 Ryzen 7 Octa Core 5800H;AMD;Ryzen 7 Octa Core;16 GB;1 TB;SSD;3;Full HD With IPS (In-Plane Switching) technology ( Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio, supporting 144 Hz refresh rate);NVIDIA GeForce RTX 3060;19824413
30843;ASUS ZenBook Duo 14 (2021) Touch Panel Core i7 11th Gen;Intel;Core i7;16 GB;1 TB;SSD;6;Full HD LED Backlit LCD IPS-level Anti-Glare Touch Display (400 nits Brightness, 100% sRGB Color Gamut, Pantone Validated, 93% Screen to Body Ratio);Intel Integrated Iris Xe;28589813
30844;ASUS ROG Strix G15 (2020) Core i5 10th Gen;Intel;Core i5;8 GB;1 TB;SSD;3;Full HD Anti-glare Display (IPS level Panel, 250nits Brightness, 1:1000 Contrast, 170 Viewing Angle, 45% NTSC Color Gamut, 67% SRGB);NVIDIA GeForce GTX 1650 Ti;16276513
30845;DELL Inspiron Core i3 11th Gen;Intel;Core i3;8 GB;512 GB;SSD;6;Full HD WVA Touch Display with Active Pen;Intel Integrated UHD;13146013
30846;MSI Prestige 14 EVO Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;5;sRGB100% 300nits 1W Panel;Intel Integrated Iris Xe;16798263
30847;HP Ryzen 5 Hexa Core 5500U;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;9;Full HD SVA WLED Backlit Micro-Edge Anti-Glare Display (250 nits Brightness, 45% NTSC Color Gamut, 141 PPI);AMD Radeon;10745963
30848;ASUS ROG Flow X13 Ryzen 7 Octa Core 5800HS;AMD;Ryzen 7 Octa Core;16 GB;1 TB;SSD;4;WUXGA LED Backlit LCD Glossy IPS-Level Touch Display with Adaptive Sync (16:10 Aspect Ratio, 120 Hz Refresh Rate, 300 nits Brightness, 1000:1 Contrast Ratio, 72% NTSC Color Gamut, 100% sRGB, 75% Adobe, 75% DCI-P3, Pantone Validated);NVIDIA GeForce GTX 1650;20867913
30849;MSI Modern 14 Core i7 11th Gen;Intel;Core i7;8 GB;512 GB;SSD;4;Full HD IPS Display (45% NTSC Color Gamut);Intel Integrated Iris Xe;14815613
30850;ASUS ROG Flow X13 Ryzen 9 Octa Core 5900HS;AMD;Ryzen 9 Octa Core;16 GB;1 TB;SSD;3;WQUXGA LED Backlit LCD Glossy IPS-Level Touch Display with Adaptive Sync (16:10 Aspect Ratio, 60 Hz Refresh Rate, 300 nits Brightness, 1000:1 Contrast Ratio, 82% NTSC Color Gamut, 116% sRGB, 86% Adobe, 85% DCI-P3, Pantone Validated);NVIDIA GeForce GTX 1650;25041913
30851;ASUS ROG Flow X13 Ryzen 9 Octa Core 5900HS;AMD;Ryzen 9 Octa Core;32 GB;1 TB;SSD;6;WQUXGA LED Backlit LCD Glossy IPS-Level Touch Display with Adaptive Sync (16:10 Aspect Ratio, 60 Hz Refresh Rate, 300 nits Brightness, 1000:1 Contrast Ratio, 82% NTSC Color Gamut, 116% sRGB, 86% Adobe, 85% DCI-P3, Pantone Validated);NVIDIA GeForce GTX 1650;27128913
30852;Lenovo ThinkPad E15 Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;10;Full HD LED Anti-glare Display;Intel Integrated UHD;13772113
30853;DELL Inspiron Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;6;FHD LED Backlit WVA Anti-glare Display;NVIDIA GeForce MX450;1596534
30854;ASUS Intel EVO Zenbook Flip 13 OLED Touch Panel Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;4;Full HD OLED Glossy Display (400 nits Brightness, DCI-P3 100% Color Gamut, 16:9 Aspect Ratio);Intel Integrated Iris Xe;16693913
30855;ASUS VivoBook 15 Core i3 10th Gen;Intel;Core i3;4 GB;1 TB;HDD;4;HD LED Backlit Anti-glare Display (16:9 Aspect Ratio, 45% NTSC Color Gamut, 200 nits Brightness, 83% Screen-to-body Ratio);Intel Integrated UHD;7093713
30856;ASUS TUF Gaming F15 Core i5 10th Gen;Intel;Core i5;8 GB;512 GB;SSD;3;Full HD LED Backlit, IPS Anti-Glare Display (250nits Brightness, 144 Hz Refresh Rate, 45% NTSC Color Gamut, 62.5% sRGB);NVIDIA GeForce GTX 1650;12519913
30857;ASUS Vivobook Gaming Core i5 9th Gen;Intel;Core i5;8 GB;512 GB;SSD;4;Full HD LED Backlit Anti-glare Display (300 nits Brightness, 100% sRGB Color Gamut, 80% Screen-to-body Ratio, IPS-level Panel);NVIDIA GeForce GTX 1650;11476413
30858;ASUS TUF Dash F15 (2021) Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;3;Full HD LCD LED Backlit, IPS Anti-Glare Display (250nits Brightness, 144 Hz Refresh Rate, 45% NTSC Color Gamut, 62.5% sRGB);NVIDIA GeForce RTX 3060;18259163
30859;MSI GP65 Leopard Core i7 10th Gen;Intel;Core i7;16 GB;1 TB;SSD;3;Full HD IPS Thin Bezel Display (45% NTSC Color Gamut, 144Hz Refresh Rate);NVIDIA GeForce RTX 2060;27650663
30860;ASUS VivoBook 15 Ryzen 3 Dual Core;AMD;Ryzen 3 Dual Core;4 GB;256 GB;SSD;4;Full HD Anti-glare Display (250nits Brightness, 83% Screen-to-body Ratio, IPS-level Panel);AMD Radeon;6885013
30861;HP 14s Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;3;Full HD LED Backlit, IPS Micro-Edge BrightView (250 nits Brightness, 157 PPI, 45% NTSC Color Gamut);Intel Integrated Iris Xe;12208532
30862;acer Aspire 5 Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;9;Full HD LED-Backlit TFT LCD Display (16:9 Aspect Ratio);Intel Integrated Iris Xe;11476413
30863;DELL Inspiron Ryzen 3 Dual Core 3250U;AMD;Ryzen 3 Dual Core;8 GB;1 TB;HDD;7;FHD LED Backlit Anti-Glare Display;AMD Radeon Vega;8345913
30864;acer Nitro 5 Ryzen 5 Hexa Core 4600H;AMD;Ryzen 5 Hexa Core;8 GB;1 TB;SSD;3;Full HD LED Backlit ComfyView IPS Display (16:9 Aspect Ratio);NVIDIA GeForce GTX 1650;12728613
30865;DELL Vostro Core i3 11th Gen;Intel;Core i3;8 GB;1 TB;HDD;10;Full HD Anti Glare Display;Intel Integrated UHD;8554613
30866;HP 14s Ryzen 5 Hexa Core 5500U;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;4;Full HD IPS BrightView Micro Edge Display (250 nits Brightness, 45% NTSC Color Gamut, 157 PPI);AMD Radeon;10831530
30867;DELL Vostro Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;10;Full HD Anti Glare Display;NVIDIA GeForce MX330;11622503
30868;HP 15s Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;12;Full HD LED Backlit Anti-glare Micro-edge Display (250 nits Brightness, 45% NTSC Color Gamut, 141 PPI);NVIDIA GeForce MX350;12728613
30869;acer Aspire 5 Ryzen 7 Octa Core 5700U;AMD;Ryzen 7 Octa Core;8 GB;512 GB;SSD;13;Full HD, High Brightness Acer ComfyView LED Backlit TFT LCD, 16:9 Aspect Ratio, Ultra Slim Design, Mercury Free, Environment Friendly;AMD Radeon AMD;12102513
30870;acer Aspire 5 Ryzen 5 Hexa Core 5500U;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;13;Full HD LED Backlit IPS Comfy View Display;AMD Radeon;10432913
30871;acer Core i7 8th Gen;Intel;Core i7;8 GB;1 TB;HDD;3;HD LED Backlit TFT LCD Display (16:9 Aspect Ratio);Intel Integrated UHD 620;8972013
30872;ASUS ZenBook Duo 14 (2021) Touch Panel Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;8;Full HD LED Backlit LCD IPS-level Anti-Glare Touch Display (400 nits Brightness, 100% sRGB Color Gamut, Pantone Validated, 93% Screen to Body Ratio);NVIDIA GeForce MX450;23998413
30873;HP 15s Ryzen 5 Quad Core 3500U;AMD;Ryzen 5 Quad Core;8 GB;512 GB;SSD;3;Full HD WLED Backlit, Anti-Glare Micro-Edge Display (220 nits Brightness, 141 PPI, 45% NTSC Color Gamut);AMD Radeon Vega 8;11267713
30874;HP 14s Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;4;HD LED Backlit Micro-Edge Display (250nits Brightness, 45% NTSC Color Gamut, 112 PPI);Intel Integrated Iris Xe;13252450
30875;ASUS ZenBook Duo 14 (2021) Touch Panel Intel EVO Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;3;Full HD LED Backlit LCD IPS-level Anti-Glare Touch Display (400 nits Brightness, 100% sRGB Color Gamut, Pantone Validated, 93% Screen to Body Ratio);Intel Integrated Iris Xe;21285313
30876;ASUS Ryzen 5 Hexa Core;AMD;Ryzen 5 Hexa Core;8 GB;1 TB;SSD;4;Full HD LED Backlit Anti-glare Display (250 nits Brightness, 45% NTSC Color Gamut, IPS Level Panel);AMD Radeon Intel HD Graphics 5500;15673370
30877;ASUS Core i3 11th Gen;Intel;Core i3;8 GB;512 GB;SSD;4;Full HD LED Backlit, Anti-Glare IPS Display (250 nits Brightness, 45% NTSC Color Gamut);Intel Integrated UHD;9806813
30878;ASUS Ryzen 5 Hexa Core;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;3;Full HD Anti-glare Display (200 nits Brightness, 45% NTSC Color Gamut);AMD Radeon;1022609
30879;acer Predator Helios 300 Octa Core i7 10th Gen;Intel;Octa Core i7;16 GB;1 TB;SSD;6;Full HD LED Backlit IPS ComfyView Display (300 nits Brightness, 72% NTSC Color Gamut);NVIDIA GeForce RTX 3060;20867913
30880;DELL Inspiron Core i3 10th Gen;Intel;Core i3;8 GB;1 TB;HDD;8;Full HD LED Backlit Anti Glare Display;Intel Integrated UHD;8974100
30881;ASUS Zenbook Flip 13 OLED Touch Panel Intel EVO Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;5;Full HD OLED Glossy Touch Display (400 nits Brightness, 100% DCI-P3 Color Gamut, 80% Screen-to-body Ratio, Pantone Validated);Intel Integrated Iris Xe;16693913
30882;Lenovo ThinkPad E15 Core i3 11th Gen;Intel;Core i3;4 GB;256 GB;SSD;10;Full HD LED Anti-glare Display;Intel Integrated UHD;9389413
30883;Lenovo ThinkPad E15 Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;10;Full HD LED Anti-glare Display;Intel Integrated UHD;13876463
30884;Lenovo Yoga S7 Carbon Core i7 11th Gen;Intel;Core i7;16 GB;1 TB;SSD;14;Full HD LED Backlit Glossy IPS Display (300 nits Brightness, 16:9 Aspect Ratio, 100% sRGB);Intel Integrated Integrated Intel IRIS XE Graphics;2556324
30885;HP Chromebook MediaTek Kompanio 500;MediaTek;MediaTek Kompanio 500;4 GB;64 GB;EMMC;4;HD LED Backlit Anti-glare Display (220 nits Brightness, 45% Color Gamut, 73.8% Screen to Body Ratio);MediaTek Integrated;4276263
30886;acer Nitro 5 Ryzen 5 Hexa Core 5600H;AMD;Ryzen 5 Hexa Core;16 GB;1 TB;SSD;3;Full HD LED Backlit IPS ComfyView Display;NVIDIA GeForce RTX 3060;19824413
30887;DELL Core i5 11th Gen;Intel;Core i5;8 GB;1 TB;HDD;5;;Intel Integrated intel;12311213
30888;Lenovo Core i5 10th Gen;Intel;Core i5;8 GB;1 TB;SSD;4;;Intel Integrated Core i5;1231309
30889;Lenovo Core i9 10th Gen;Intel;Core i9;16 GB;1 TB;SSD;7;;NVIDIA GeForce RTX 2080 super max-q;5551378
30890;HP Core i3 11th Gen;Intel;Core i3;8 GB;256 GB;SSD;5;Full HD Micro-Edge Anti-Glare Display (250 nits Brightness, 45% NTSC Color Gamut, 141 PPI);Intel Integrated UHD;9579330
30891;Lenovo Core i5 7th Gen;Intel;Core i5;4 GB;1 TB;HDD;6;;NVIDIA GeForce NVIDIA;1168699
30892;Lenovo Yoga 6 Ryzen 7 Octa Core 4700U;AMD;Ryzen 7 Octa Core;16 GB;512 GB;SSD;18;Full HD IPS Glossy Touch Display (300 nits Brightness, 72% NTSC Color Gamut);AMD Radeon;16693913
30893;Lenovo IdeaPad Flex 5 Core i7 11th Gen;Intel;Core i7;16 GB;512 GB;SSD;10;Full HD IPS Touch Display (250 nits Glossy, 45% NTSC);Intel Integrated Iris Xe;17111313
30894;MSI Modern 14 Core i5 10th Gen;Intel;Core i5;8 GB;512 GB;SSD;4;Full HD LED Backlit IPS Display (60 Hz Refresh Rate);Intel Integrated UHD;11789463
30895;HP 15s Core i3 11th Gen;Intel;Core i3;8 GB;1 TB;HDD;12;Full HD Micro-Edge Anti-Glare Display (250 nits Brightness, 45% NTSC Color Gamut, 141 PPI);Intel Integrated UHD;9118103
30896;HP 14s Core i3 11th Gen;Intel;Core i3;8 GB;256 GB;SSD;12;Full HD WLED-backlit IPS BrightView Micro-edge Display;Intel Integrated UHD;7928513
30897;ASUS Ryzen 3 Dual Core 3250U;AMD;Ryzen 3 Dual Core;4 GB;256 GB;SSD;5;Full HD Anti-Glare Display (200 nits Brightness, 45% NTSC Color Gamut, 83% Screen-to-Body Ratio);AMD Radeon AMD Readon;6780663
30898;Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core 4800H;AMD;Ryzen 7 Octa Core;8 GB;512 GB;SSD;6;Full HD LED Backlit Anti-glare IPS Display (60Hz Refresh Rate, 250 nits Brightness, 3 Sided Narrow Bezel (Active Area 83%));NVIDIA GeForce GTX 1650;17113400
30899;ASUS TUF Gaming F15 Core i5 10th Gen;Intel;Core i5;16 GB;512 GB;SSD;3;Full HD LED Backlit Anti-glare IPS Display (16:9 Aspect Ratio, 250 nits Brightness, 1000:1 Contrast Ratio, 45% NTSC Color Gamut, 62.5% sRGB, 47.1% Adobe, 144 Hz Refresh Rate);NVIDIA GeForce GTX 1660 Ti;17320013
30900;HP Core i3 11th Gen;Intel;Core i3;8 GB;512 GB;SSD;4;Full HD IPS Micro-Edge Anti-Glare Display (250 nits Brightness, 45% NTSC Color Gamut, 141 PPI);Intel Integrated UHD;9349760
30901;HP Pavilion Core i5 11th Gen;Intel;Core i5;16 GB;512 GB;SSD;3;Full HD, IPS, Micro-edge, Anti-glare, Micro Bezel Display;NVIDIA GeForce MX450;15650413
30902;HP Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;4;Diagonal, FHD, Micro-edge, Anti-glare Display;Intel Integrated Iris Xe;12730700
30903;HP Core i3 11th Gen;Intel;Core i3;8 GB;512 GB;SSD;3;Full HD IPS Micro-Edge Anti-Glare Display (250 nits Brightness, 45% NTSC Color Gamut, 141 PPI);Intel Integrated UHD;10205430
30904;HP 15s Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;12;Full HD LED Backlit Anti-glare Micro-edge Display (250 nits Brightness, 45% NTSC Color Gamut, 141 PPI);Intel Integrated Iris Xe;12603393
30905;Lenovo Ideapad Flex 5 Core i3 11th Gen;Intel;Core i3;8 GB;512 GB;SSD;10;Full HD LED Backlit Glossy IPS Display (250 nits Brightness);Intel Integrated UHD;1208352
30906;Lenovo IdeaPad Flex 5 Core i3 11th Gen;Intel;Core i3;8 GB;512 GB;SSD;10;Full HD IPS 250nits Glossy;Intel Integrated UHD;11267713
30907;APPLE 2020 Macbook Air M1;Apple;M1;8 GB;512 GB;SSD;15;Quad LED Backlit IPS Display (227 PPI, 400 nits Brightness, Wide Colour (P3), True Tone Technology);;21494013
30908;acer Aspire 7 Ryzen 5 Hexa Core 5500U;AMD;Ryzen 5 Hexa Core;8 GB;512 GB;SSD;6;Full HD LED Backlit IPS ComfyView Display (16:9 Aspect Ratio, 45% NTSC Color Gamut);NVIDIA GeForce GTX 1650;11476413
30909;Lenovo Ideapad Flex 5 Core i3 11th Gen;Intel;Core i3;8 GB;256 GB;SSD;10;Full HD LED Backlit IPS Glossy Multi-touch Display (250 nits Brightness, 45% NTSC Color Gamut);Intel Integrated UHD;10850313
30910;HP Pavilion x360 Core i3 11th Gen;Intel;Core i3;8 GB;512 GB;SSD;3;Full HD LED Backlit IPS Micro-edge Multi-touch Display (250 nits Brightness, 45% NTSC Color Gamut, 157 PPI, 82.47% Screen to Body Ratio);Intel Integrated UHD;11580763
30911;Lenovo Ideapad S 540 Core i5 10th Gen;Intel;Core i5;8 GB;1 TB;SSD;12;Full HD LED Backlit Anti Glare IPS Display (16:9 Aspect Ratio, 250 nits Brightness, 45% NTSC Color Gamut);NVIDIA GeForce MX250;12703569
30912;lenovo Yoga 9 Core i7 11th Gen Intel EVO;Intel;Core i7;16 GB;1 TB;SSD;10;UHD HD LED Backlit Glossy IPS Multi-touch Display (500 nits Brightness, 90% DCI-P3, 16:9 Aspect Ratio, VESA HDR 400);Intel Integrated Iris Xe;35269882
30913;HP 430 G8 Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;8;;;19617800
30914;DELL INSPIRON Core i3 10th Gen;Intel;Core i3;8 GB;1 TB;HDD;6;;Intel Integrated Intel Integrated UHD;8784183
30915;lenovo Yoga 7 Core i7 11th Gen Intel EVO;Intel;Core i7;16 GB;512 GB;SSD;10;Full HD HD LED Backlit Glossy IPS Multi-touch Display (300 nits Brightness, 72% NTSC Color Gamut, 16:9 Aspect Ratio);Intel Integrated Iris Xe;20867913
30916;Lenovo Legion Y540 Core i5 9th Gen;Intel;Core i5;8 GB;1 TB;SSD;4;Full HD LED Backlit Anti-glare IPS Display (250 nits Brightness, 45% NTSC Color Gamut, 60 Hz Refresh Rate, 16:9 Aspect Ratio);NVIDIA GeForce GTX 1650;13438193
30917;DELL Vostro Core i5 11th Gen;Intel;Core i5;8 GB;1 TB;HDD;10;Full HD LED Backlit Anti Glare Display;Intel Integrated Iris Xe;10850313
30918;DELL Inspiron Core i3 10th Gen;Intel;Core i3;4 GB;256 GB;SSD;8;Full HD LED Backlit Anti-glare Display;Intel Integrated UHD;8241563
30919;DELL Vostro Core i3 10th Gen;Intel;Core i3;8 GB;256 GB;SSD;10;Full HD LED Backlit Anti-glare Display;Intel Integrated UHD;7928513
30920;Mi Notebook Horizon Edition 14 Core i7 10th Gen;Intel;Core i7;8 GB;512 GB;SSD;10;Full HD LED Backlit Anti-glare Display (91% Screen-to-body Ratio);NVIDIA Geforce MX350;12519913
30921;ASUS TUF Gaming F15 Core i5 10th Gen;Intel;Core i5;8 GB;512 GB;SSD;4;Full HD LED Backlit Anti-glare IPS Display (16:9 Aspect Ratio, 200 nits Brightness, 700:1 Contrast Ratio, 45% NTSC Color Gamut, 62.5% sRGB, 47.3% Adobe, 60 Hz Refresh Rate);NVIDIA GeForce GTX 1650 Ti;13354713
30922;HP 15s Core i5 11th Gen;Intel;Core i5;8 GB;1 TB;HDD;12;Full HD LED Backlit Anti-glare IPS Micro-edge Display (250 nits Brightness, 45% NTSC Color Gamut, 141 PPI);NVIDIA GeForce MX350;11372063
30923;HP Pavilion x360 Core i3 11th Gen;Intel;Core i3;8 GB;256 GB;SSD;4;Full HD LED Backlit IPS Micro-edge Multi-touch Display (250 nits Brightness, 45% NTSC Color Gamut, 157 PPI, 82.47% Screen to Body Ratio);Intel Integrated UHD;11267713
30924;DELL Vostro Core i3 10th Gen;Intel;Core i3;8 GB;1 TB;HDD;10;Full HD LED Backlit Anti-glare Display;Intel Integrated UHD;8554613
30925;HP 15s Ryzen 3 Dual Core 3250U;AMD;Ryzen 3 Dual Core;8 GB;1 TB;SSD;12;Full HD LED Backlit Anti-glare IPS Micro-edge Display (250 nits Brightness, 45% NTSC Color Gamut, 141 PPI);AMD Radeon Vega 6;8658963
30926;ASUS VivoBook 15 Core i5 10th Gen;Intel;Core i5;8 GB;1 TB;HDD;4;Full HD LED Backlit Anti-glare Display (16:9 Aspect Ratio, 45% NTSC Color Gamut, 200 nits Brightness, 83% Screen-to-body Ratio);Intel Integrated UHD;9389413
30927;ASUS VivoBook 15 Core i3 10th Gen;Intel;Core i3;8 GB;1 TB;HDD;3;Full HD LED Backlit Anti-glare Display (16:9 Aspect Ratio, 45% NTSC Color Gamut, 200 nits Brightness, 83% Screen-to-body Ratio);Intel Integrated UHD;8366783
30928;ASUS VivoBook 15 Core i5 10th Gen;Intel;Core i5;8 GB;1 TB;SSD;3;Full HD LED Backlit Anti-glare Display (16:9 Aspect Ratio, 45% NTSC Color Gamut, 200 nits Brightness, 83% Screen-to-body Ratio);Intel Integrated UHD;10641613
30929;ASUS VivoBook Flip 14 (2021) Touch Panel Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;3;Full HD LED Backlit Glossy IPS Touch Display (16:9 Aspect Ratio, 45% NTSC Color Gamut, 250 nits Brightness, 82% Screen-to-body Ratio);Intel Integrated Iris Xe Max;15441713
30930;MSI Modern 14 Core i3 10th Gen;Intel;Core i3;8 GB;256 GB;SSD;5;Full HD LED Backlit IPS Display (60 Hz Refresh Rate);Intel Integrated UHD;8345913
30931;HP 15s Core i3 11th Gen;Intel;Core i3;8 GB;1 TB;HDD;12;Full HD LED Backlit Anti-glare Micro-edge Display (250 nits Brightness, 45% NTSC Color Gamut, 141 PPI);Intel Integrated UHD;9389413
30932;MSI Modern 14 Core i3 10th Gen;Intel;Core i3;8 GB;512 GB;SSD;3;Full HD LED Backlit IPS Display (60 Hz Refresh Rate);Intel Integrated UHD;9911163
30933;MSI Summit E15 Core i7 11th Gen;Intel;Core i7;16 GB;1 TB;SSD;4;Full HD LED Backlit IPS Level Finger Touch Panel (60 Hz Refresh Rate, 72% NTSC Color Gamut);NVIDIA GeForce GTX 1650 Ti Max-Q;32346413
30934;DELL Inspiron Core i5 11th Gen;Intel;Core i5;8 GB;512 GB;SSD;6;Full HD LED Backlit Touch Display (Active Pen Stylus Support);Intel Integrated Iris Xe;14252123
30935;DELL Inspiron Core i3 11th Gen;Intel;Core i3;4 GB;512 GB;SSD;6;Full HD LED Backlit Touch Display (Active Pen Stylus Support);Intel Integrated UHD;12271560
30936;DELL XPS Core i5 11th Gen Intel EVO;Intel;Core i5;8 GB;512 GB;SSD;19;Full HD+ LED Backlit InfinityEdge Display;Intel Integrated Iris Xe;24207113
